"paragraph","error_message","polarity_class","polarity_score","emotion"
"আমলে অর্ধেক মানুষকেও চাকরি বিএনপির নেতারা ভাষণ দেয়",,"stronglyNegative",-0.9997682094573974,"{""neutral"":0.00046187828411348164,""happy"":0.00011872976028826088,""anger/disgust"":0.9988736510276794,""sadness"":0.003358390647917986,""surprise"":0.002903683576732874,""fear"":0.0001851575798355043}"
"হটাও মাফিয়া বাচাও দেশে",,"stronglyNegative",-0.9578799247741699,"{""neutral"":0.0005295112496241927,""happy"":0.00016553024761378765,""anger/disgust"":0.9985049962997437,""sadness"":0.003576004644855857,""surprise"":0.00048123556189239025,""fear"":0.00013250410847831517}"
"হ্যাঁ খালেদা জিয়া ছাত্রদল ক্যাডারদের চাকরি দিছেন পরীক্ষা ছাড়াই",,"weaklyNegative",-0.5995160341262817,"{""neutral"":0.0009743450791575015,""happy"":0.00015982244804035872,""anger/disgust"":0.9985945820808411,""sadness"":0.0016065959352999926,""surprise"":0.002456428250297904,""fear"":0.000073648763645906}"
"বিএনপি ক্ষমতায় থাকলে এতদিনে খেয়ে মরতে হতো বাংলাদেশের মানুষের",,"stronglyNegative",-0.9985862731933594,"{""neutral"":0.002635728335008025,""happy"":0.0004605200665537268,""anger/disgust"":0.5424522757530212,""sadness"":0.6571592688560486,""surprise"":0.0027619870379567146,""fear"":0.0634584128856659}"
"দুইটা অর্জন আশা আসছে বিএনপির ডেট এক্সপায়ার্ড নেতারা",,"weaklyNegative",-0.5935137271881104,"{""neutral"":0.0596158467233181,""happy"":0.1588733047246933,""anger/disgust"":0.790141224861145,""sadness"":0.11874709278345108,""surprise"":0.019821742549538612,""fear"":0.00843410287052393}"
"শীত আসতে পাগলের আমদানি আগমন বিএনপি জারজ অবৈধ সংগঠন গাঞ্জা খোর সংগঠন",,"stronglyNegative",-0.9999384880065918,"{""neutral"":0.00018673909653443843,""happy"":0.00020613591186702251,""anger/disgust"":0.9996695518493652,""sadness"":0.0017916817450895905,""surprise"":0.0005328491097316146,""fear"":0.00004281552173779346}"
"বিএনপি ক্ষমতায় এলে দুর্নীতিতে চ্যাম্পিয়ন হবো",,"stronglyNegative",-0.999898362159729,"{""neutral"":0.001973725389689207,""happy"":0.0010977099882438779,""anger/disgust"":0.9801745414733887,""sadness"":0.0560750886797905,""surprise"":0.0017862491076812148,""fear"":0.00754081504419446}"
"আন্দোলনের নামে সহিংসতা জবাব দেবে আ লীগ",,"weaklyNegative",-0.5998144626617432,"{""neutral"":0.005227259360253811,""happy"":0.006069773342460394,""anger/disgust"":0.9890480637550354,""sadness"":0.012552495114505291,""surprise"":0.0038735305424779654,""fear"":0.0016300458228215575}"
"বিএনপি আন্দোলনের নামে সহিংসতা আওয়ামী লীগ সমুচিত জবাব দেবে",,"weaklyNegative",-0.5995366334915161,"{""neutral"":0.0014393416931852698,""happy"":0.0018495462136343122,""anger/disgust"":0.9962655901908875,""sadness"":0.006810646969825029,""surprise"":0.0020370346028357744,""fear"":0.0005453738267533481}"
"শান্তিপূর্ণ গণতান্ত্রিক আন্দোলনকে স্বাগত যায় সহিংস আন্দোলনকে",,"stronglyNegative",-0.9902404546737671,"{""neutral"":0.003678933484479785,""happy"":0.005634196102619171,""anger/disgust"":0.9672068357467651,""sadness"":0.08617237210273743,""surprise"":0.005572616588324308,""fear"":0.008560685440897942}"
"আল্লাহর হুকুম জেদিকে পাশকোরবে",,"weaklyNegative",-0.424399185180664,"{""neutral"":0.8371486067771912,""happy"":0.0864822044968605,""anger/disgust"":0.07440830022096634,""sadness"":0.026394609361886978,""surprise"":0.02886912412941456,""fear"":0.011642547324299812}"
"গত ১৪ বছর গণঅভ্যুত্থান আন্দোলনের মনগড়া ভয় দেখিয়ে আসছে বিএনপি",,"stronglyNegative",-0.9998614311218261,"{""neutral"":0.004341806750744581,""happy"":0.0009966836078092456,""anger/disgust"":0.9755460023880005,""sadness"":0.03213408216834068,""surprise"":0.00925352331250906,""fear"":0.020944861695170403}"
"বর্তমানে বাংলাদেশের জনবিচ্ছিন্ন দল কর্তৃক তথাকথিত আন্দোলন অবরোধের নামে সহিংসতা ছড়ানো সমগ্র দেশবাসী বিশ্ব বিবেক তীব্র ধিক্কার জানিয়েছে",,"stronglyNegative",-0.9999364852905274,"{""neutral"":0.0009297928190790117,""happy"":0.0009853964438661933,""anger/disgust"":0.9898079037666321,""sadness"":0.0689072236418724,""surprise"":0.0018712281016632915,""fear"":0.004131689667701721}"
"দেশ বিএনপি জামাতের সন্ত্রাসীদের অভয়ারণ্যে পরিণত হয়েছে",,"stronglyNegative",-0.9999404907226562,"{""neutral"":0.0010259002447128296,""happy"":0.0004331020754761994,""anger/disgust"":0.9934647679328918,""sadness"":0.023690281435847282,""surprise"":0.0011085722362622619,""fear"":0.0018135226564481854}"
"বিএনপি আন্দোলনের নামে আগুন সন্ত্রাস জনগণের সম্পদ ধ্বংসের রাজনীতিই",,"stronglyNegative",-0.9999512672424317,"{""neutral"":0.0006468194187618792,""happy"":0.00040634427568875253,""anger/disgust"":0.9955472946166992,""sadness"":0.029388146474957466,""surprise"":0.0013859879691153765,""fear"":0.0012279528891667724}"
"আন্দোলন নামক নাশকতার আগুন খেললে পরিণতি শুভ বিএনপির",,"stronglyNegative",-0.999385404586792,"{""neutral"":0.002354420954361558,""happy"":0.002096937270835042,""anger/disgust"":0.9861788749694824,""sadness"":0.03884892165660858,""surprise"":0.002589120529592037,""fear"":0.003274236572906375}"
"বিএনপির হুংকার গাছে কাঁঠাল গোঁফে তেলের",,"stronglyNegative",-0.9864086389541626,"{""neutral"":0.002824739320203662,""happy"":0.0015075023984536529,""anger/disgust"":0.9902724623680115,""sadness"":0.017797136679291725,""surprise"":0.003038753755390644,""fear"":0.0011132551589980721}"
"বিএনপি অপশক্তি ঘাপটি মেরে বিশৃংখলা",,"stronglyNegative",-0.999911904335022,"{""neutral"":0.0012657943880185485,""happy"":0.00041518217767588794,""anger/disgust"":0.9951843619346619,""sadness"":0.010513468645513058,""surprise"":0.0010209131287410855,""fear"":0.0005099775735288858}"
"শেখ হাসিনা সরকার দরকার জয় বাংলা",,"stronglyPositive",0.9997144460678102,"{""neutral"":0.006627593655139208,""happy"":0.988401472568512,""anger/disgust"":0.006703609135001898,""sadness"":0.0012786826118826866,""surprise"":0.0003966510121244937,""fear"":0.00017448510334361345}"
"হটাও মাফিয়া বাঁচাও দেশ খালেদা জিয়ার বাংলাদেশ চট্টগ্রামে লাখো জনতার স্লোগান",,"stronglyNegative",-0.9971783399581909,"{""neutral"":0.0006761053809896111,""happy"":0.0005092882784083486,""anger/disgust"":0.9986292123794556,""sadness"":0.00330371898598969,""surprise"":0.0006947817164473236,""fear"":0.00012359346146695316}"
"সফল দোয়াও ভালো বাসা রইলো",,"stronglyPositive",0.9998985528945924,"{""neutral"":0.0014351275749504566,""happy"":0.9983115196228027,""anger/disgust"":0.00017122474673669785,""sadness"":0.000439471157733351,""surprise"":0.0003502193430904299,""fear"":0.000043366613681428134}"
"আওয়ামী লীগ সরকার দরকার",,"weaklyPositive",0.5973620891571045,"{""neutral"":0.0054114763624966145,""happy"":0.001516563119366765,""anger/disgust"":0.9906855225563049,""sadness"":0.004376045428216457,""surprise"":0.0009900639997795224,""fear"":0.00008283004717668518}"
"ইনশাআল্লাহ আসবে খালেদা জিয়া",,"weaklyPositive",0.5936327457427979,"{""neutral"":0.02854357659816742,""happy"":0.9754287004470825,""anger/disgust"":0.005057854577898979,""sadness"":0.0015577741432935,""surprise"":0.002188805490732193,""fear"":0.0003629168786574155}"
"জানতাম ফখরুল মিয়া চট্টগ্রাম কসবা রেলওয়ে স্টেশন আটকাই দিতাম",,"weaklyNegative",-0.5998288869857789,"{""neutral"":0.07301732897758484,""happy"":0.006091207731515169,""anger/disgust"":0.7702630758285522,""sadness"":0.1249588131904602,""surprise"":0.02173997089266777,""fear"":0.04110020026564598}"
"জিয়ার সৈনিক এক হও লড়াই করো",,"stronglyPositive",0.9997836351394654,"{""neutral"":0.22919513285160065,""happy"":0.09288684278726578,""anger/disgust"":0.5697253942489624,""sadness"":0.06902749091386795,""surprise"":0.020314253866672516,""fear"":0.04310010373592377}"
"তারেক রহমানকে ভার্চুয়ালি আলোচনা দরকার",,"neutral",0.19872727394104006,"{""neutral"":0.955437421798706,""happy"":0.005078451242297888,""anger/disgust"":0.0536327138543129,""sadness"":0.005250980146229267,""surprise"":0.004053924232721329,""fear"":0.002857550047338009}"
"মির্জা ফখরুল ইসলাম মাথা খারাপ",,"stronglyNegative",-0.9975277662277222,"{""neutral"":0.002416277304291725,""happy"":0.002323127118870616,""anger/disgust"":0.15384431183338165,""sadness"":0.9143669605255127,""surprise"":0.0021661773789674044,""fear"":0.007403925061225891}"
"আজকে চট্টগ্রামে মহান সমাবেশ বিএনপির নেতা কর্মীকে গতবারের ক্ষমতায় আসে ১০ট্রাক অস্ত্র এনেছে এবারে ক্ষমতায় আসলে ২০ট্রাক আনবেন",,"stronglyNegative",-0.9998539924621582,"{""neutral"":0.0019101504003629088,""happy"":0.001068942598067224,""anger/disgust"":0.9931492209434509,""sadness"":0.013977025635540485,""surprise"":0.0026599750854074955,""fear"":0.002262414898723364}"
"জনপ্রিয়তা আওয়ামীলীগের মাথা নষ্ট হয়ে",,"stronglyNegative",-0.9998490810394287,"{""neutral"":0.0024428698234260082,""happy"":0.0011003147810697556,""anger/disgust"":0.9700033068656921,""sadness"":0.07479526847600937,""surprise"":0.00220917584374547,""fear"":0.001422424684278667}"
"চাঁদপুর জেলা বিএনপির সাবেক সফল সভাপতি হাজীগঞ্জ শাহরাস্তির গণমানুষের নেতা ধানের শীষের মনোনীত প্রার্থী অবিভাবক ইঞ্জিনিয়ার মমিনুল হক ভাইয়ের পক্ষ আজকের মহা সমাবেশে উপস্থিত সবাইকে শুভেচ্ছা অভিনন্দন",,"stronglyPositive",0.9998710632324219,"{""neutral"":0.0024885470047593117,""happy"":0.9970247149467468,""anger/disgust"":0.0010765427723526955,""sadness"":0.00046966547961346805,""surprise"":0.001129442360252142,""fear"":0.00010124862455995753}"
"এগিয়ে জাও জিয়ার শৌনিক",,"stronglyPositive",0.9939617633819582,"{""neutral"":0.01373337209224701,""happy"":0.9862713813781738,""anger/disgust"":0.0034868884831666946,""sadness"":0.0015929753426462412,""surprise"":0.0069688656367361546,""fear"":0.00044479421922005713}"
"চাই বাংলাদেশে এন সরকার ক্ষমতায় আসুক সৈরাচারী আওয়ামী লীগের শাসকের পরাজয় হউক বাংলাদেশে শান্তি আসবে",,"stronglyPositive",0.9988593816757203,"{""neutral"":0.017745714634656906,""happy"":0.08872118592262268,""anger/disgust"":0.9243633151054382,""sadness"":0.035998594015836716,""surprise"":0.002003338187932968,""fear"":0.0017121921991929412}"
"বাদা বিএনপি ঠেকানো বাংলাদেশ জনগণ জেগে উঠেছে",,"stronglyPositive",0.9982321023941041,"{""neutral"":0.012481356970965862,""happy"":0.01719648204743862,""anger/disgust"":0.967898964881897,""sadness"":0.023158948868513107,""surprise"":0.004586151335388422,""fear"":0.007957706227898598}"
"চট্টগ্রাম স্বাধীনতার ঘোষণা দিয়েছিলেন শহীদ প্রেসিডেন্ট জিয়াউর রহমান চট্টগ্রাম বিভাগীয় গন মহাসমাবেশ সরকারের পতন ইনশাআল্লাহ",,"stronglyPositive",0.9996607780456543,"{""neutral"":0.016771219670772552,""happy"":0.01611052267253399,""anger/disgust"":0.9754568338394165,""sadness"":0.008116758428514004,""surprise"":0.002398937940597534,""fear"":0.0008850292069837451}"
"আমাদেরকে শাহ আমানত সেতুর পুলিশ বাধা দিয়েছিল পুলিশ বাহিনী জানেনা চট্টগ্রামে ছেলে বাদ অপেক্ষা সমাবেশ স্থলে পোছেছি",,"weaklyNegative",-0.5997730493545532,"{""neutral"":0.04367432743310928,""happy"":0.08779296278953552,""anger/disgust"":0.6682392954826355,""sadness"":0.370657742023468,""surprise"":0.03586360439658165,""fear"":0.05157923698425293}"
"যেই জণগন এসেছে আওয়ামী লীগের হাঁটা এটেক হয়ে কাকো ওবায়দুল কাদের হাসপাতালে ভর্তি হয়েছে",,"stronglyNegative",-0.9977504253387451,"{""neutral"":0.028698910027742386,""happy"":0.017680030316114426,""anger/disgust"":0.6994038820266724,""sadness"":0.38960862159729004,""surprise"":0.047752685844898224,""fear"":0.044527024030685425}"
"বাংলাদেশ জাতীয়তাবাদী দল জিন্দাবাদ",,"weaklyPositive",0.5988927602767945,"{""neutral"":0.3103369176387787,""happy"":0.7853378057479858,""anger/disgust"":0.004718360491096973,""sadness"":0.0007351422100327909,""surprise"":0.0007453510770574212,""fear"":0.00026323506608605385}"
"শ্রমিকে হত্যা গাড়ি জ্বালাও পোড়াও বাংলার জনগন ক্ষমতায় আসতে দিবে জয় বাংলা জয় বঙ্গবন্ধু জয়তু শেখ হাসিনা",,"stronglyNegative",-0.9863801240921021,"{""neutral"":0.0264748428016901,""happy"":0.30958932638168335,""anger/disgust"":0.8421321511268616,""sadness"":0.04524022713303566,""surprise"":0.005148452240973711,""fear"":0.005007864907383919}"
"বাংলাদেশ জিন্দাবাদ বাংলাদেশ জাতীয়তাবাদ দল বিএনপি জিন্দাবাদ",,"stronglyPositive",0.8903322935104372,"{""neutral"":0.378513902425766,""happy"":0.5213784575462341,""anger/disgust"":0.07060746848583221,""sadness"":0.0029377492610365152,""surprise"":0.0032421366777271032,""fear"":0.0010664687724784017}"
"সমাবেশের নামে দেশের রাজনীতিতে মামলা হামলা ষড়যন্ত্র সন্ত্রাস নৈরাজ্যকে লালন বিএনপি এখনো",,"stronglyNegative",-0.9999497890472412,"{""neutral"":0.0011182969901710749,""happy"":0.0006314949714578688,""anger/disgust"":0.9948354959487915,""sadness"":0.02280403859913349,""surprise"":0.0028565474785864353,""fear"":0.0017790020210668445}"
"চট্টগ্রাম স্বাধীনতার ঘোষণা দিয়েছিলেন মহান স্বাধীনতার ঘোষক শহীদ রাষ্ট্রপতি জিয়াউর রহমান চট্টগ্রাম গনতন্ত্র পুনরুদ্ধারের সুচনা ইনশাআল্লাহ",,"stronglyPositive",0.9999364376068116,"{""neutral"":0.11138813942670822,""happy"":0.9105868935585022,""anger/disgust"":0.001763541018590331,""sadness"":0.00038164760917425156,""surprise"":0.0007939977222122252,""fear"":0.00013375247363001108}"
"ভোট চোর সরকার দরকার",,"stronglyNegative",-0.9999286890029907,"{""neutral"":0.00023768580285832286,""happy"":0.00019006722141057253,""anger/disgust"":0.9995786547660828,""sadness"":0.0012965000933036208,""surprise"":0.0005183773464523256,""fear"":0.000023620345018571243}"
"আওয়ামী লুটপাট লীগ বয়কট করুন",,"stronglyNegative",-0.9995675563812256,"{""neutral"":0.0004492899461183697,""happy"":0.00019235805666539818,""anger/disgust"":0.9990750551223755,""sadness"":0.00305026862770319,""surprise"":0.00044622752466239035,""fear"":0.00008337287727044895}"
"রাষ্ট্র বিরোধী এন জামাত জংলী দল বাংলার মাটিতে ঠাই দিয়া ইনশাআল্লাহ",,"stronglyNegative",-0.999941062927246,"{""neutral"":0.00019991832959931344,""happy"":0.00029163353610783815,""anger/disgust"":0.9995447993278503,""sadness"":0.001786596025340259,""surprise"":0.0003982316702604294,""fear"":0.000048550358769716695}"
"নিশি রাতের সরকার দেশ হটাও",,"stronglyNegative",-0.9958472490310669,"{""neutral"":0.0009552467381581664,""happy"":0.0003803559811785817,""anger/disgust"":0.997586727142334,""sadness"":0.005559636279940605,""surprise"":0.0007962430245243013,""fear"":0.0005063952412456274}"
"ভালোবাসার আরেক নাম বাংলাদেশ জাতীয়তাবাদী দল এন",,"stronglyPositive",0.9998744487762452,"{""neutral"":0.000568186107557267,""happy"":0.9989299178123474,""anger/disgust"":0.0006711489404551685,""sadness"":0.00016302932635881007,""surprise"":0.0010214773938059807,""fear"":0.00002328198024770245}"
"বাংলাদেশ বিএনপি দল নাইস",,"stronglyPositive",0.997740149497986,"{""neutral"":0.010891719721257687,""happy"":0.9696791768074036,""anger/disgust"":0.06608964502811432,""sadness"":0.002537982538342476,""surprise"":0.0015141756739467382,""fear"":0.00030045618768781424}"
"হঠাও হাসিনা বাঁচাও দেশ আসম আবদুর রবের নিদেশ",,"stronglyNegative",-0.9901664018630981,"{""neutral"":0.0035273232497274876,""happy"":0.0008236438734456897,""anger/disgust"":0.991389811038971,""sadness"":0.013244416564702988,""surprise"":0.002399706281721592,""fear"":0.0025515821762382984}"
"বাধা সৃষ্টি করতো ৬ লোকের সমাগম হইতো",,"weaklyNegative",-0.5998317480087281,"{""neutral"":0.040243469178676605,""happy"":0.0016209871973842382,""anger/disgust"":0.8134838342666626,""sadness"":0.137459859251976,""surprise"":0.01789267733693123,""fear"":0.020148707553744316}"
"চট্টগ্রাম ট্রেইলর দেখেছেন মাত্রপুরো সিনেমা দেখবেন ঢাকায় ইনশাআল্লাহ",,"stronglyPositive",0.967619848251343,"{""neutral"":0.004865722265094519,""happy"":0.995403528213501,""anger/disgust"":0.0006741352844983339,""sadness"":0.0008294967119581997,""surprise"":0.0024120856542140245,""fear"":0.00027333831530995667}"
"জনস্রোত দিচ্ছে বিজয় নিকটে ইনশাআল্লাহ",,"stronglyPositive",0.9999650478363038,"{""neutral"":0.0005970897618681192,""happy"":0.9991376399993896,""anger/disgust"":0.00025123279192484915,""sadness"":0.0001878103066701442,""surprise"":0.0016846898943185806,""fear"":0.00003524660496623255}"
"বাদা আন্দোলন বন্ধ আরো জোরদার ইনশাআল্লাহ জনগণের পিঠ দেয়ালে ঠেকে রাজপথে ফায়সালা ইনশাআল্লাহ তত্ত্বাবধায়ক সরকারের অধীনে নির্বাচন বাধ্য সরকার",,"stronglyNegative",-0.9976592063903809,"{""neutral"":0.005519103724509478,""happy"":0.008906382136046886,""anger/disgust"":0.9743146896362305,""sadness"":0.0542900487780571,""surprise"":0.003876217408105731,""fear"":0.008445710875093937}"
"চট্টগ্রাম স্বাধীনতার ঘোষণা দিয়েছিলেন শহীদ প্রেসিডেন্ট জিয়াউর রহমান চট্টগ্রাম বিভাগীয় গন মহাসমাবেশ সরকারের পতন ইনশাআল্লাহ",,"stronglyPositive",0.9996607780456543,"{""neutral"":0.016771219670772552,""happy"":0.01611052267253399,""anger/disgust"":0.9754568338394165,""sadness"":0.008116758428514004,""surprise"":0.002398937940597534,""fear"":0.0008850292069837451}"
"চলছে আন্দোলন চলবে জিয়ার সৈনিক লড়বে দাবি মোদের একটাই অবৈধ স্বৈরাচার সরকারের পতন চাইজয়পুরহাট জেলা এন ছাএদল",,"stronglyPositive",0.9947197675704957,"{""neutral"":0.0038467678241431713,""happy"":0.009356137365102768,""anger/disgust"":0.985162079334259,""sadness"":0.023182224482297897,""surprise"":0.00237404671497643,""fear"":0.0017298465827479959}"
"জনগণ গনতন্ত্র পাবে ইনশাআল্লাহ",,"stronglyPositive",0.9984137296676636,"{""neutral"":0.12539230287075043,""happy"":0.8340660929679871,""anger/disgust"":0.03371166065335274,""sadness"":0.010521230287849903,""surprise"":0.0012955860001966357,""fear"":0.0013057360192760825}"
"চলছে আন্দোলন চলবে জিয়ার সৈনিক লড়বে বীর মুক্তিযোদ্ধা শিক্ষা বন্ধু সাবেকএমপি গাজীপুর মহানগর বিএনপির সাবেক সভাপতি আলহাজ্ব হাসান উদ্দীন সরকার",,"stronglyPositive",0.999938726425171,"{""neutral"":0.08205141127109528,""happy"":0.0991850420832634,""anger/disgust"":0.8373731970787048,""sadness"":0.04197477549314499,""surprise"":0.007556386291980743,""fear"":0.00477922149002552}"
"গাজীপুর ০২ টংঈী জয়দেবপুর গণমানুষের প্রিয় নেতা বীরমুক্তিযোদ্ধা আলহাজ্ব হাসান উদ্দীন সরকার পক্ষ শত হামলার মধ্য দিয়ে গন মহাসমাবেশ সফল চট্টগ্রাম বিভাগের বিএনপির নেতাকর্মীদের আন্তরিক শুভেশ্ছা অভিনন্দন",,"stronglyPositive",0.9999200105667115,"{""neutral"":0.013795948587357998,""happy"":0.9841424822807312,""anger/disgust"":0.013008656911551952,""sadness"":0.008421494625508785,""surprise"":0.006145304534584284,""fear"":0.0016789280343800783}"
"নাঃগঞ্জের মাফিয়া সন্তান বলেছে ৪ ৫ লোকের সমাগম হয়েছে জারুয়া কোথাকার",,"stronglyNegative",-0.9998875856399536,"{""neutral"":0.00022824190091341734,""happy"":0.00013359620061237365,""anger/disgust"":0.9996484518051147,""sadness"":0.0013231270713731647,""surprise"":0.0004677041433751583,""fear"":0.000028108963306294754}"
"সাগর মুন্সি লাফালাফি আবল তাবোল কখা বলো ভাই সুস্থ মাথায় ভাবলে হাসি লাগে সবাই সাধীন দেশেের নাগরিক",,"weaklyNegative",-0.44958920478820796,"{""neutral"":0.007230439223349094,""happy"":0.2142675668001175,""anger/disgust"":0.937307596206665,""sadness"":0.024320201948285103,""surprise"":0.0024185115471482277,""fear"":0.0006616914179176092}"
"মিথ্যা বলার একটা সীমা তোমাদের বিএনপির জন্ম মিথ্যা",,"stronglyNegative",-0.9999367713928222,"{""neutral"":0.00019391025125514716,""happy"":0.00021577034203801304,""anger/disgust"":0.9996143579483032,""sadness"":0.001370333950035274,""surprise"":0.00029595260275527835,""fear"":0.000021890040443395264}"
"সকল বাধা উপেক্ষা গৌণ সমাবেশ সফল রাজশাহী মহানগর ছাত্রদলের পক্ষ শুভেচ্ছা অভিনন্দন",,"stronglyPositive",0.9986367702484131,"{""neutral"":0.0005142700974829495,""happy"":0.9994934797286987,""anger/disgust"":0.0003065100754611194,""sadness"":0.000521742447745055,""surprise"":0.0032672970555722713,""fear"":0.00004864968286710791}"
"বিএনপি সমাবেশ লীগের মাথা নষ্ট খালি ঘেউ ঘেউ",,"stronglyNegative",-0.9999310493469238,"{""neutral"":0.00016027204401325434,""happy"":0.0001554233895149082,""anger/disgust"":0.9997377991676331,""sadness"":0.002055499469861388,""surprise"":0.0003226988192182034,""fear"":0.000019525865354808047}"
"চট্টগ্রামে মাছি মশা গতকাল চট্টগ্রামের রাজপথে নিশি রাতের ভোট চোরের একটা পাতি নেতা রাজপথে",,"stronglyNegative",-0.9999426364898681,"{""neutral"":0.00037664041155949235,""happy"":0.00031873039552010596,""anger/disgust"":0.9986746311187744,""sadness"":0.004413424525409937,""surprise"":0.0009869913337752223,""fear"":0.0002066335582640022}"
"বিএন ছাএদল খেলা",,"neutral",-0.19997594356536866,"{""neutral"":0.9989742040634155,""happy"":0.00025580759393051267,""anger/disgust"":0.0005055801593698561,""sadness"":0.00009626273822505027,""surprise"":0.0004245301242917776,""fear"":0.00009670887811807916}"
"নারায়ে তাকবীর ১ম শব্দটি নারায়ে উর্দূ অর্থ ধ্বনী উচ্চ আওয়াজ দ্বিতীয় শব্দটি তাকবীর আরবি অর্থ আল্লাহর বড়ত্ব শ্রেষ্ঠত্ব নারায়ে তাকবীর অর্থ তোমরা উচ্চ আওয়াজে আল্লাহর বড়ত্বের ঘোষণা দাও আল্লাহু আকবার আল্লাহ সর্বশক্তিমান",,"neutral",0.1993557095527649,"{""neutral"":0.9583262205123901,""happy"":0.05117332562804222,""anger/disgust"":0.0003915663401130587,""sadness"":0.00021110475063323975,""surprise"":0.0026400049682706594,""fear"":0.00041899195639416575}"
"কই গুন্ডা লীগদের ত দেখি",,"weaklyNegative",-0.43631744384765625,"{""neutral"":0.0018489320063963532,""happy"":0.00023026751296129078,""anger/disgust"":0.9962177872657776,""sadness"":0.0026476599741727114,""surprise"":0.001867219340056181,""fear"":0.00011012064351234585}"
"পশাসনের লোক রাখছে আওয়ামী লীগ মাঠে",,"weaklyNegative",-0.599886918067932,"{""neutral"":0.00437886780127883,""happy"":0.0009990313556045294,""anger/disgust"":0.9819853901863098,""sadness"":0.032399069517850876,""surprise"":0.0026001487858593464,""fear"":0.0025248180609196424}"
